category,name,latitude,longitude,Zipcode
parking,Big Painted Cave Trail Parking,41.7294214,-121.5122797,
parking,Schonchin Butte Parking,41.7407745,-121.5253368,
parking,Unnamed,37.879472,-122.2261607,94720
parking,Unnamed,33.0474469,-116.4347774,
parking,Unnamed,37.8834599,-122.2447552,94720
parking,Unnamed,41.7310299,-121.5106829,
parking,Unnamed,41.7432257,-121.5452564,
parking,Unnamed,41.7281092,-121.5495945,
parking,Unnamed,41.8180043,-121.5434539,
parking,Unnamed,41.824793,-121.5002526,
parking,Unnamed,41.8331697,-121.4699996,
parking,Wildlife Overlook,41.8364288,-121.4900148,
parking,Unnamed,41.7650031,-121.5566006,
parking,Unnamed,41.757178,-121.567582,
parking,Heppe Cave,41.6958776,-121.53998,
parking,Unnamed,41.691884,-121.5450852,
parking,Unnamed,41.7092642,-121.4779846,
parking,Unnamed,37.2963625,-122.2461607,94020
parking,Hidden Valley Trailhead,40.032706,-124.0247228,
parking,Unnamed,40.3419715,-123.9410863,95571
parking,Unnamed,39.9187042,-123.942713,
parking,Unnamed,37.688978,-119.005621,
parking,Unnamed,39.1759962,-120.8583471,95717
parking,Unnamed,39.2947189,-120.381391,95728
parking,Unnamed,36.9920498,-121.9974197,95065
parking,Horse Camp Trailhead,41.9729772,-123.1776601,
parking,Black Butte Trailhead,41.3727872,-122.340443,
parking,Unnamed,37.9087789,-122.3443273,94804
parking,Unnamed,41.236478,-122.276022,96025
parking,Cook and Green Trailhead (lower),41.9807853,-123.1779965,
parking,Middle Fork Trailhead,41.9736181,-123.2079225,
parking,Cameron Meadows Trailhead,41.9802354,-123.2302039,
parking,Frog Pond Trailhead,41.9950612,-123.2535323,
parking,Unnamed,34.2246767,-118.8795056,91360
parking,Lot D,34.039844,-117.1003729,92399
hotel,Wilbur Hot Springs,39.0387911,-122.4211541,
supermarket,California Oranges,36.1012355,-118.8280675,93265
parking,Unnamed,33.9443513,-118.4062065,90245
parking,Unnamed,34.912622,-120.619088,
parking,Unnamed,34.4563057,-119.6535599,93108
parking,Unnamed,34.4550366,-119.6528417,93108
supermarket,Trader Joe's,37.8455422,-122.252612,94618
parking,Huckleberry Botanic Regional Preserve parking,37.842772,-122.1950991,94516
parking,Unnamed,33.9992225,-118.358,90043
parking,Unnamed,37.8695034,-122.2450259,94720
parking,Unnamed,34.1938085,-118.8815084,91360
supermarket,Saigon City Marketplace,33.7382341,-117.9561985,92655
supermarket,India Cash & Carry,37.3513957,-122.0056924,95051
supermarket,Kumud Groceries,37.3529854,-122.0041823,95051
parking,Unnamed,34.2411815,-118.6718351,93063
parking,Unnamed,34.1156691,-118.4137598,90210
parking,Unnamed,37.8175897,-120.6659218,
parking,Unnamed,37.9570249,-122.3167189,94806
supermarket,Sprouts Farmers Market,32.8516297,-117.2144772,92122
parking,Unnamed,32.6022352,-117.1240744,91932
parking,Unnamed,37.2860896,-121.9395706,95008
parking,Unnamed,37.7521732,-122.4177698,90103
parking,Unnamed,38.8231349,-123.0105023,95425
supermarket,Redwood Valley Market,39.2648404,-123.2043527,95418
parking,Unnamed,39.2917604,-121.0972358,
parking,Unnamed,41.4906582,-121.6166136,
parking,Unnamed,37.6474554,-122.1451588,94545
parking,Unnamed,37.6464441,-122.1470584,94545
parking,Unnamed,41.5829952,-121.5855891,
parking,Unnamed,37.5013641,-119.6214666,
parking,Unnamed,37.9106028,-122.378345,94801
parking,Unnamed,37.8867738,-122.2323381,94720
parking,Unnamed,37.9043493,-122.2677241,94708
parking,Unnamed,39.7672449,-121.7904325,
parking,Unnamed,37.9915578,-122.3557465,94604
parking,Unnamed,37.9890739,-122.3533225,94604
parking,Unnamed,41.6996998,-121.468593,
parking,Unnamed,37.8379671,-122.1873674,94516
parking,Unnamed,37.8840641,-122.1427833,94556
parking,Unnamed,39.7993507,-121.8543495,95973
parking,Waterloo Staging area,37.823508,-122.186818,94516
parking,Unnamed,37.8037179,-122.1774991,94615
parking,Unnamed,37.8034023,-122.1768238,94615
supermarket,Lucky,37.3539748,-121.998114,95051
parking,Unnamed,37.9469346,-122.2658233,94895
parking,Unnamed,37.4145103,-121.9706044,95054
parking,Unnamed,37.4189041,-122.0178824,94089
parking,Unnamed,37.9477642,-122.2665189,94895
parking,Unnamed,37.4470976,-121.9226473,95035
parking,Unnamed,37.4059833,-122.3041287,
parking,Grizzly Flat Trail Parking Area,37.2905815,-122.1544332,
supermarket,Andronico’s,37.3607935,-122.0968991,94024
parking,Unnamed,37.3014007,-122.0759558,
parking,Carr-Feeley Parking Area,39.4018135,-120.6434697,
parking,Unnamed,37.3302814,-121.8697564,95192
parking,Unnamed,37.3300673,-121.868982,95192
parking,Unnamed,37.3306064,-121.8687932,95192
parking,Unnamed,37.3310432,-121.868604,95192
parking,Unnamed,38.8298755,-122.6981324,95426
parking,Unnamed,38.8335824,-122.7180443,95426
supermarket,Windmill Market,36.8411133,-121.5351038,95045
parking,"Area N, Salmon Hole",39.7833636,-121.7458326,
parking,Area P,39.7876059,-121.7390822,
parking,Area R,39.7921908,-121.7392107,
parking,Area Q,39.7898505,-121.7386859,
parking,Convict Lake Day Use Parking,37.5893401,-118.854191,
parking,Unnamed,37.1124252,-121.6431505,95038
parking,Unnamed,38.5693128,-122.423631,94508
supermarket,Cardenas,37.0144001,-121.5830607,95020
supermarket,Nob Hill,37.0144,-121.5850776,95020
supermarket,Gerrard's Market,34.0426024,-117.1840753,92373
parking,Unnamed,38.4884215,-122.5720205,95409
parking,Bull Valley Staging Area,38.0490224,-122.1971082,94525
parking,Unnamed,33.9448469,-118.4020116,90009
parking,Unnamed,33.9431907,-118.4060321,90245
parking,Unnamed,33.943375,-118.4022857,90009
parking,Unnamed,33.9450799,-118.3991751,90009
supermarket,Unnamed,37.5767243,-122.3189018,94401
parking,Unnamed,38.9464262,-120.0981071,
parking,Unnamed,37.7819606,-119.0762761,93529
parking,Unnamed,34.3974194,-117.8221555,93563
mall,Unnamed,37.4719474,-122.2594521,94062
parking,Unnamed,34.2034285,-118.2986959,91501
parking,Unnamed,37.7206267,-122.0983017,94546
parking,Unnamed,32.7500162,-117.1023489,92105
supermarket,Tahoma Market and Deli,39.0685632,-120.130964,96142
supermarket,Trader Joe's,37.2883696,-121.9325822,95008
supermarket,Whole Foods Market,37.2929607,-121.930408,95008
parking,Unnamed,40.929761,-124.1336218,95521
supermarket,Trader Joe's,33.6503583,-117.8375537,92612
supermarket,Albertsons,32.6264844,-117.075597,91910
supermarket,Albertsons,33.1318495,-117.05952,92027
supermarket,Ralphs,32.7942263,-117.254304,92109
supermarket,Minute Mart,32.757146,-117.086522,92105
supermarket,Smart & Final,32.7481139,-117.140395,92163
supermarket,Foodland Iga #3,32.720976,-117.085641,92105
supermarket,Vien Dong Iii,32.784503,-117.169782,92111
supermarket,Sin Lee Food Whole Sale Co.,32.755239,-117.094062,92115
supermarket,Seafood City,32.9137121,-117.131518,92126
supermarket,Albertsons,33.1400088,-117.1384078,92069
supermarket,Lucky Seafood,32.9189539,-117.12427,92126
supermarket,Carnival Supermarket,32.808766,-117.160587,92133
supermarket,Sprouts Farmers Market,33.244442,-117.291178,92057
supermarket,Northgate Supermarket,32.5759506,-117.070391,92154
supermarket,Wisteria Candy Cottage,32.668419,-116.288345,91905
supermarket,Vons,32.7653189,-117.0242861,91941
supermarket,Harvest International Market,32.812549,-117.2001002,92140
supermarket,Ralphs,33.1404803,-117.0428558,92027
supermarket,Harvest Ranch Market #4,32.959484,-117.264857,92014
supermarket,El Super,32.658835,-117.089328,91950
supermarket,Albertsons,32.7393034,-116.937744,92019
supermarket,El Tigre Foods Warehouse,33.368481,-117.249825,92028
supermarket,Pay-Low Super Market,32.698243,-117.027292,92114
supermarket,Albertsons,32.8089693,-116.920103,92021
supermarket,Albertsons,32.708019,-117.008632,91977
supermarket,Albertsons,33.1087912,-117.105855,92029
supermarket,Albertsons,32.7436452,-117.0452275,91945
supermarket,Alpine Ranch Market,32.8350132,-116.7544712,91901
supermarket,Food Giant,32.696312,-117.086173,91950
supermarket,Food 4 Less,32.750884,-117.068158,92115
supermarket,La Jolla Shores Market,32.853574,-117.254215,02037
supermarket,Stumps Apple Market #3,32.741212,-117.22919,92106
supermarket,Albertsons,33.0178029,-117.061518,92128
supermarket,Ralphs,32.769245,-117.054379,92115
supermarket,Salsa Market,32.781016,-116.967177,92020
supermarket,Garden Farms Market,32.64365,-117.083869,91950
supermarket,Smart & Final Extra!,32.8564347,-116.9721883,92071
supermarket,Harvest Ranch Market #2,33.0356349,-117.2381936,92024
supermarket,Hometown Iga #2,32.6401684,-117.0955849,91950
supermarket,Ralphs,32.676575,-117.038896,92139
mall,Cardiff-By-The-Sea Towne Centre Shopping Center,33.0222651,-117.2822594,92007
hotel,River Bend Lodge,33.8619634,-114.5282903,
hotel,Juniper Lodge,41.7601493,-122.061953,96058
hotel,Altadena Lodge,34.1725209,-118.0884025,91107
hotel,Elkhorn Lodge,34.494715,-118.3098011,
hotel,Laurel Springs Lodge,34.50694,-119.7959737,93111
hotel,Breckenridge Lodge,35.4660671,-118.6106436,
parking,Unnamed,39.428972,-120.1632856,
