Vehicles Nearby,Vehicles Nearby.1,Required Chargers,DC Fast Count,vehiclesToBeCharged,text,label,Utilization Rate
8727.0,8727.0,137.0,2,8896.0,,1,101.93651884954737
421.0,421.0,5.0,12,1088.0,,3,258.43230403800476
132.0,132.0,3.0,1,256.0,,3,193.93939393939394
9475.0,9475.0,144.0,1,9280.0,,1,97.94195250659631
2888.0,2888.0,37.0,2,2496.0,,4,86.42659279778393
379.0,379.0,6.0,2,512.0,,0,135.09234828496042
798.0,798.0,13.0,1,896.0,,0,112.28070175438596
673.0,673.0,5.0,1,384.0,,4,57.05794947994056
635.0,635.0,4.0,1,320.0,,4,50.39370078740157
4915.0,4915.0,73.0,1,4736.0,,1,96.35808748728383
628.0,628.0,10.0,1,704.0,,0,112.10191082802548
1767.0,1767.0,14.0,1,960.0,,4,54.32937181663837
1898.0,1898.0,25.0,1,1664.0,,4,87.67123287671232
188.0,188.0,3.0,1,256.0,,0,136.17021276595744
24453.0,24453.0,337.0,1,21632.0,,4,88.4635832004253
12176.0,12176.0,162.0,1,10432.0,,4,85.67674113009198
19805.0,19805.0,297.0,1,19072.0,,1,96.29891441555162
6697.0,6697.0,95.0,2,6208.0,,1,92.69822308496342
184.0,184.0,3.0,1,256.0,,0,139.1304347826087
18.0,18.0,1.0,2,192.0,,3,1066.6666666666665
1798.0,1798.0,29.0,1,1920.0,,1,106.7853170189099
1809.0,1809.0,29.0,1,1920.0,,1,106.13598673300166
7460.0,7460.0,106.0,1,6848.0,,1,91.79624664879357
304.0,304.0,5.0,1,384.0,,0,126.3157894736842
12287.0,12287.0,177.0,1,11392.0,,1,92.71587857084724
5811.0,5811.0,84.0,1,5440.0,,1,93.61555670280502
2138.0,2138.0,34.0,1,2240.0,,1,104.7708138447147
15635.0,15635.0,209.0,1,13440.0,,4,85.96098496961945
320.0,320.0,3.0,1,256.0,,4,80.0
3496.0,3496.0,55.0,1,3584.0,,1,102.51716247139588
2452.0,2452.0,15.0,1,1024.0,,2,41.76182707993475
386.0,386.0,7.0,1,512.0,,0,132.64248704663214
321.0,321.0,6.0,1,448.0,,0,139.5638629283489
1744.0,1744.0,28.0,1,1856.0,,1,106.42201834862387
2024.0,2024.0,15.0,3,1152.0,,4,56.916996047430835
78.0,78.0,2.0,1,192.0,,3,246.15384615384616
1374.0,1374.0,8.0,1,576.0,,2,41.92139737991266
2770.0,2770.0,44.0,2,2944.0,,1,106.28158844765343
22855.0,22855.0,317.0,1,20352.0,,4,89.0483482826515
18484.0,18484.0,213.0,1,13696.0,,4,74.09651590564813
574.0,574.0,9.0,1,640.0,,0,111.49825783972125
20184.0,20184.0,286.0,1,18368.0,,1,91.00277447483155
1645.0,1645.0,10.0,1,704.0,,2,42.796352583586625
18717.0,18717.0,271.0,1,17408.0,,1,93.00635785649409
1682.0,1682.0,19.0,1,1280.0,,4,76.09988109393579
82.0,82.0,2.0,1,192.0,,3,234.14634146341461
461.0,461.0,8.0,1,576.0,,0,124.94577006507592
334.0,334.0,6.0,2,512.0,,3,153.2934131736527
664.0,664.0,11.0,1,768.0,,0,115.66265060240963
7551.0,7551.0,35.0,1,2304.0,,2,30.512514898688913
1383.0,1383.0,18.0,1,1216.0,,4,87.92480115690527
28726.0,28726.0,408.0,2,26240.0,,1,91.34581911856854
6280.0,6280.0,84.0,1,5440.0,,4,86.62420382165605
7520.0,7520.0,88.0,1,5696.0,,4,75.74468085106383
3945.0,3945.0,62.0,1,4032.0,,1,102.20532319391636
212.0,212.0,1.0,1,128.0,,4,60.37735849056604
10516.0,10516.0,106.0,1,6848.0,,4,65.11981742107265
11862.0,11862.0,170.0,1,10944.0,,1,92.26100151745068
453.0,453.0,8.0,1,576.0,,0,127.15231788079471
6230.0,6230.0,58.0,1,3776.0,,4,60.609951845906906
3329.0,3329.0,46.0,1,3008.0,,1,90.35746470411536
5107.0,5107.0,80.0,2,5248.0,,1,102.76091638926962
31288.0,31288.0,487.0,1,31232.0,,1,99.82101764254666
5377.0,5377.0,85.0,1,5504.0,,1,102.3619118467547
74.0,74.0,2.0,1,192.0,,3,259.4594594594595
78.0,78.0,2.0,2,256.0,,3,328.2051282051282
3030.0,3030.0,44.0,2,2944.0,,1,97.16171617161716
4533.0,4533.0,67.0,1,4352.0,,1,96.00705934259872
110.0,110.0,2.0,1,192.0,,3,174.54545454545453
458.0,458.0,6.0,1,448.0,,1,97.81659388646288
17571.0,17571.0,255.0,1,16384.0,,1,93.24455068009789
936.0,936.0,15.0,1,1024.0,,1,109.40170940170941
512.0,512.0,8.0,2,640.0,,0,125.0
1013.0,1013.0,16.0,2,1152.0,,0,113.72161895360315
4891.0,4891.0,73.0,3,4864.0,,1,99.44796565119609
740.0,740.0,12.0,6,1152.0,,3,155.67567567567568
3061.0,3061.0,48.0,1,3136.0,,1,102.45017967984317
1404.0,1404.0,7.0,1,512.0,,2,36.46723646723647
2036.0,2036.0,32.0,1,2112.0,,1,103.7328094302554
20797.0,20797.0,295.0,6,19264.0,,1,92.62874453046112
620.0,620.0,10.0,1,704.0,,0,113.54838709677419
38.0,38.0,1.0,1,128.0,,3,336.84210526315786
6673.0,6673.0,105.0,1,6784.0,,1,101.66341975123632
559.0,559.0,9.0,4,832.0,,0,148.8372093023256
4130.0,4130.0,65.0,1,4224.0,,1,102.27602905569006
278.0,278.0,5.0,1,384.0,,0,138.1294964028777
2075.0,2075.0,33.0,1,2176.0,,1,104.86746987951807
1851.0,1851.0,29.0,1,1920.0,,1,103.72771474878444
124.0,124.0,2.0,1,192.0,,3,154.83870967741936
2048.0,2048.0,32.0,4,2304.0,,0,112.5
12725.0,12725.0,163.0,4,10688.0,,4,83.99214145383104
1298.0,1298.0,19.0,8,1728.0,,0,133.12788906009246
5071.0,5071.0,48.0,3,3264.0,,4,64.36600276079669
452.0,452.0,8.0,1,576.0,,0,127.43362831858407
