Latitude,Longitude,Vehicles Nearby,Required Chargers,Elevation,County
32.88607,-117.085982,8727,137,238,San Diego County
38.274451,-121.259201,421,5,19,Sacramento County
36.652065,-119.906591,132,3,74,Fresno County
34.141146,-117.655583,9475,144,535,San Bernardino County
34.3050358,-118.8987045,2888,37,242,Ventura County
40.738322,-124.107619,379,6,182,Humboldt
35.176043,-120.476694,798,13,295,San Luis Obispo
39.68571,-121.844084,673,5,51,Butte County
38.622985,-122.889121,635,4,32,Sonoma County
37.9912307,-121.7039944,4915,73,2,Contra Costa County
35.393866,-119.244846,628,10,102,Kern County
37.6100056,-120.9940854,1767,14,20,Stanislaus County
33.765401,-116.334205,1898,25,48,Riverside County
33.482811,-117.226126,188,3,410,Riverside County
34.1033676,-118.2360136,24453,337,220,Los Angeles County
33.09547,-117.243882,12176,162,87,San Diego County
34.15404,-118.593153,19805,297,313,Los Angeles County
38.022366,-122.555605,6697,95,61,Marin County
34.866894,-118.339832,184,3,773,Kern County
40.765478,-122.941428,18,1,885,Trinity County
34.011953,-117.159699,1798,29,541,San Bernardino County
38.442011,-122.23832,1809,29,507,Napa County
34.1403905,-117.9465874,7460,106,169,Los Angeles County
36.37559,-119.211689,304,5,116,Tulare County
32.7082775,-117.0726661,12287,177,107,San Diego County
34.440891,-118.501747,5811,84,506,Los Angeles County
37.673944,-121.517227,2138,34,324,San Joaquin
33.5282882,-117.717662,15635,209,170,Orange County
40.527834,-122.318749,320,3,158,Shasta County
37.424565,-121.748597,3496,55,848,Santa Clara
34.283668,-119.223196,2452,15,121,Ventura County
38.412615,-121.756222,386,7,8,Solano County
39.135023,-123.259338,321,6,776,Mendocino
36.917573,-119.593481,1744,28,171,Fresno
38.3933,-122.745048,2024,15,28,Sonoma County
37.90723,-120.688307,78,2,307,Calaveras
34.111605,-117.377406,1374,8,395,San Bernardino County
37.041848,-121.9853286,2770,44,123,Santa Cruz County
37.516907,-121.911763,22855,317,133,Alameda County
37.2376501,-121.832311,18484,213,51,Santa Clara County
35.662509,-120.749865,574,9,441,San Luis Obispo County
34.195685,-118.490752,20184,286,225,Los Angeles County
37.808915,-121.312639,1645,10,4,San Joaquin County
37.4567615,-122.2297184,18717,271,16,San Mateo County
38.244839,-122.135861,1682,19,104,Solano County
37.5893401,-118.854191,82,2,3401,Mono County
39.082497,-121.680114,461,8,15,Sutter
39.347811,-120.918728,334,6,1009,Nevada County
35.16319,-119.046322,664,11,89,Kern County
37.9377015,-122.0256327,7551,35,20,Contra Costa County
36.6768911,-121.6123431,1383,18,27,Monterey County
37.3607935,-122.0968991,28726,408,82,Santa Clara County
38.6811234,-121.0475448,6280,84,315,El Dorado County
34.193326,-118.818684,7520,88,370,Ventura County
33.511228,-117.042396,3945,62,447,Riverside County
35.606509,-117.683472,212,1,711,Kern County
34.0827269,-117.8517056,10516,106,226,Los Angeles County
37.714509,-122.079542,11862,170,128,Alameda County
35.468183,-118.779649,453,8,679,Kern
32.674004,-116.943932,6230,58,246,San Diego County
37.6619214,-121.855933,3329,46,199,Alameda County
34.326584,-118.382261,5107,80,964,Los Angeles
34.09254,-118.491064,31288,487,366,Los Angeles County
34.308729,-118.687223,5377,85,487,Ventura County
41.819578,-124.065667,74,2,282,Del Norte County
41.314337,-122.380798,78,2,1344,Siskiyou County
38.427507,-121.314899,3030,44,21,Sacramento County
33.903134,-117.398044,4533,67,312,Riverside County
34.141358,-115.621168,110,2,421,San Bernardino
36.29223,-119.622676,458,6,72,Kings County
33.6170068,-117.6494139,17571,255,184,Orange County
38.235014,-122.557332,936,15,78,Sonoma County
35.296958,-120.733134,512,8,111,San Luis Obispo County
38.99003,-121.114408,1013,16,424,Placer County
38.7710902,-121.3698634,4891,73,31,Placer County
34.03734,-119.800786,740,12,386,Santa Barbara
37.174063,-121.598747,3061,48,476,Santa Clara County
38.046863,-121.352802,1404,7,5,San Joaquin County
32.776012,-116.880634,2036,32,170,San Diego County
34.1644476,-118.256508,20797,295,494,Los Angeles County
34.831792,-120.433509,620,10,222,Santa Barbara County
38.11276,-120.225746,38,1,1048,Tuolumne County
33.952902,-117.639325,6673,105,166,San Bernardino County
37.392287,-120.498299,559,9,89,Merced County
38.344888,-121.431231,4130,65,6,Sacramento County
35.988087,-118.860221,278,5,385,Tulare
38.577783,-121.201788,2075,33,70,Sacramento County
33.748086,-117.468037,1851,29,395,Riverside County
39.487185,-123.741963,124,2,164,Mendocino
34.506627,-118.699048,2048,32,537,Los Angeles
32.945791,-117.214366,12725,163,35,San Diego County
38.280745,-122.00638,1298,19,20,Solano County
37.246623,-121.733833,5071,48,338,Santa Clara County
34.570867,-118.023744,452,8,814,Los Angeles County
37.519986,-121.575596,2159,34,1003,Alameda County
36.902045,-121.350783,1087,17,93,San Benito County
38.5545359,-121.7870207,1200,19,17,Yolo County
37.768218,-121.609509,2694,43,118,Alameda County
36.20506,-121.010363,79,2,287,Monterey County
33.692673,-117.302957,2885,20,486,Riverside County
34.227892,-119.079552,1273,8,68,Ventura County
34.294615,-118.507001,10457,140,386,Los Angeles County
38.4866182,-121.5351981,3099,47,3,Sacramento County
34.1654839,-117.5233721,7117,112,684,San Bernardino County
37.87992,-122.184572,14346,225,153,Contra Costa County
36.862209,-119.760793,4043,26,117,Fresno County
33.6266048,-117.8485703,19181,205,41,Orange County
33.889702,-117.113427,901,15,440,Riverside
37.8849857,-122.5706681,5916,87,257,Marin County
33.131156,-116.976997,949,15,535,San Diego County
35.26146,-116.690324,44,1,769,San Bernardino County
37.762174,-121.915788,19108,283,146,Contra Costa County
38.634822,-122.615051,185,3,455,Napa
37.216953,-121.926555,19779,294,216,Santa Clara County
37.393471,-119.741037,15,1,834,Madera County
33.963723,-117.738596,16455,231,296,San Bernardino County
38.234553,-122.760385,1257,20,144,Sonoma County
33.729853,-117.03406,1881,30,459,Riverside County
37.260499,-122.046165,14498,222,265,Santa Clara County
37.452895,-121.229974,506,8,337,Stanislaus
36.521012,-119.389446,102,2,103,Tulare County
34.479453,-120.084094,989,16,179,Santa Barbara County
33.022474,-116.493688,58,1,855,San Diego County
33.826393,-117.851307,20862,302,65,Orange County
34.018195,-117.854821,12360,183,180,Los Angeles County
39.47536,-121.41411,105,2,498,Butte County
32.7839251,-117.0596437,11923,182,111,San Diego County
34.280333,-117.866141,1072,17,1528,Los Angeles County
38.823058,-123.063891,201,4,,Sonoma County
34.0178788,-117.59212,6387,73,259,San Bernardino County
37.750502,-121.749055,1415,13,191,Alameda County
34.713656,-117.86466,518,9,765,Los Angeles County
32.557022,-117.006214,5944,68,100,San Diego County
38.6724297,-121.1558851,7925,90,99,Sacramento County
34.408548,-118.123592,526,9,1185,Los Angeles
35.585018,-121.041461,173,3,98,San Luis Obispo
36.52587,-121.396735,53,1,122,Monterey
