Station ID,Latitude,Longitude,DC Fast Count,City,ZIP,County
1517,34.2483191527193,-118.3879713743439,2,Sun Valley,91352,Los Angeles County
1525,34.059133,-118.248589,12,Los Angeles,90012,Los Angeles County
1531,33.759802,-118.096665,1,Long Beach,90803,Los Angeles County
1572,34.066801,-118.227605,1,Los Angeles,90012,Los Angeles County
33182,34.208708,-118.444358,2,Van Nuys,91405,Los Angeles County
38521,34.010528,-118.4898,2,Santa Monica,90401,Los Angeles County
39870,38.007799,-121.832042,1,Antioch,94509,Contra Costa County
39871,35.310723,-119.035324,1,Bakersfield,93313,Kern County
39872,33.865497,-117.995215,1,Buena Park,90621,Orange County
39873,33.82498,-118.24566,1,Carson,90745,Los Angeles County
39874,33.78414,-116.471,1,Cathedral City,92234,Riverside County
39875,33.861544,-118.100471,1,Cerritos,90703,Los Angeles County
39876,39.75674,-121.84372,1,Chico,95926,Butte County
39877,33.997621,-117.928216,1,City of Industry,91748,Los Angeles County
39881,33.88319,-117.61565,1,Corona,92882,Riverside County
39882,33.675397,-117.918684,1,Costa Mesa,92626,Orange County
39883,38.55252,-121.69156,1,Davis,95618,Yolo County
39884,33.9473,-118.151166,2,Downey,90241,Los Angeles County
39887,34.06964,-118.02703,1,El Monte,91731,Los Angeles County
39888,38.40209,-121.38584,2,Elk Grove,95757,Sacramento County
39891,38.63424,-121.20423,1,Folsom,95630,Sacramento County
39892,34.13534,-117.44573,1,Fontana,92336,San Bernardino County
39893,37.49864,-121.9734,1,Fremont,94538,Alameda County
39895,33.766376,-117.968337,1,Garden Grove,92844,Orange County
39898,34.13714,-118.25515,1,Glendale,91204,Los Angeles County
39899,34.43427,-119.820934,1,Goleta,93117,Santa Barbara County
39901,37.662305,-122.075178,1,Hayward,94544,Alameda County
39903,33.71069,-117.989861,1,Huntington Beach,92647,Orange County
39904,33.63255,-117.72335,1,Irvine,92618,Orange County
39905,33.70693,-116.28364,1,La Quinta,92253,Riverside County
39906,34.035168,-118.273229,1,Los Angeles,90015,Los Angeles County
39907,34.133446,-118.356601,1,Los Angeles,90068,Los Angeles County
39912,34.082404,-117.694876,1,Montclair,91763,San Bernardino County
39913,34.06531,-117.21201,1,Redlands,92374,San Bernardino County
39916,33.181953,-117.298334,3,Oceanside,92056,San Diego County
39917,33.80819,-117.86507,1,Orange,92867,Orange County
39918,34.22784,-119.15031,1,Oxnard,93036,Ventura County
39919,34.5914,-118.1383,2,Palmdale,93551,Los Angeles County
39920,38.267202,-122.665068,1,Petaluma,94952,Sonoma County
39921,32.95678,-117.02581,1,Poway,92064,San Diego County
39925,37.98521,-122.32138,1,Richmond,94806,Contra Costa County
39927,33.925469,-117.419673,1,Riverside,92504,Riverside County
39928,38.752198,-121.256452,1,Roseville,95661,Placer County
39929,38.63114,-121.39648,1,Sacramento,95821,Sacramento County
39930,36.720023,-121.662519,1,Salinas,93907,Monterey County
39931,34.07141,-117.29807,1,San Bernardino,92408,San Bernardino County
39932,32.833179,-117.147384,1,San Diego,92111,San Diego County
39935,37.275144,-121.877656,2,San Jose,95136,Santa Clara County
39936,33.47462,-117.67629,1,San Juan Capistrano,92675,Orange County
39937,37.71267,-122.16245,1,San Leandro,94577,Alameda County
39938,35.25062,-120.68455,1,San Luis Obispo,93405,San Luis Obispo County
39939,37.32349,-121.98788,2,Santa Clara,95051,Santa Clara County
39943,38.42558,-122.71418,1,Santa Rosa,95404,Sonoma County
39944,36.611189,-121.849899,1,Seaside,93955,Monterey County
39945,34.16924,-118.44896,1,Sherman Oaks,91401,Los Angeles County
39947,34.27735,-118.7796,1,Simi Valley,93065,Ventura County
39948,38.02221,-121.27534,1,Stockton,95212,San Joaquin County
39949,33.516768,-117.155039,1,Temecula,92591,Riverside County
39952,33.72487,-117.79896,1,Tustin,92782,Orange County
39957,36.32325,-119.27596,1,Visalia,93292,Tulare County
39959,34.074227,-117.890899,1,West Covina,91791,Los Angeles County
44017,37.488952,-121.948969,2,Fremont,94538,Alameda County
46721,37.70271,-121.91118,1,Dublin,94568,Alameda County
46724,38.24415,-122.0795,1,Fairfield,94533,Solano County
46743,34.049006,-117.547161,1,Ontario,91761,San Bernardino County
47607,32.795896,-116.976156,2,El Cajon,92020,San Diego County
47646,37.75990555387505,-121.4632051865082,2,Tracy,95304,San Joaquin County
49255,39.084259,-120.956,1,Colfax,95713,Placer County
60124,34.072975,-118.444801,1,Los Angeles,90077,Los Angeles County
60125,34.072975,-118.444801,1,Los Angeles,90077,Los Angeles County
60200,34.43524,-119.747987,1,Santa Barbara,93105,Santa Barbara County
60856,38.553131,-121.434296,1,Sacramento,95817,Sacramento County
61792,32.595542,-117.02529,2,Chula Vista,91911,San Diego County
61815,36.810694,-119.741239,2,Fresno,93710,Fresno County
63047,34.055505,-118.248852,3,Los Angeles,90012,Los Angeles County
63052,34.060148,-118.250747,6,Los Angeles,90012,Los Angeles County
63730,39.0979,-123.484338,1,Philo,95466,Mendocino County
68393,38.018189,-121.271691,1,Stockton,95212,San Joaquin County
