ZIP,Fuel,Vehicles,LAT,LNG
90001,Battery Electric,168,33.974027,-118.249509
90002,Battery Electric,167,33.949099,-118.246737
90003,Battery Electric,197,33.964131,-118.272783
90004,Battery Electric,1292,34.076198,-118.310722
90005,Battery Electric,808,34.059163,-118.306892
90006,Battery Electric,458,34.048041,-118.294177
90007,Battery Electric,270,34.028129,-118.284829
90008,Battery Electric,688,34.009552,-118.346724
90009,Battery Electric,9,,
90010,Battery Electric,456,34.062148,-118.315889
90011,Battery Electric,252,34.00709,-118.258681
90012,Battery Electric,1446,34.065975,-118.238642
90013,Battery Electric,413,34.045405,-118.240454
90014,Battery Electric,300,34.043146,-118.251746
90015,Battery Electric,759,34.039378,-118.2663
90016,Battery Electric,905,34.028331,-118.354338
90017,Battery Electric,643,34.052913,-118.26434
90018,Battery Electric,577,34.028887,-118.317183
90019,Battery Electric,1458,34.049841,-118.33846
90020,Battery Electric,695,34.066379,-118.30987
90021,Battery Electric,189,34.029036,-118.23787
90022,Battery Electric,258,34.023728,-118.156275
90023,Battery Electric,200,34.022502,-118.199613
90024,Battery Electric,1810,34.065723,-118.434969
90025,Battery Electric,2230,34.045421,-118.445873
90026,Battery Electric,1378,34.080017,-118.262643
90027,Battery Electric,1539,34.127194,-118.295647
90028,Battery Electric,857,34.099912,-118.326912
90029,Battery Electric,414,34.089848,-118.294661
90031,Battery Electric,549,34.085784,-118.206666
90032,Battery Electric,659,34.078195,-118.185501
90033,Battery Electric,213,34.05038,-118.211991
90034,Battery Electric,1812,34.030578,-118.399613
90035,Battery Electric,1198,34.051809,-118.383674
90036,Battery Electric,1695,34.07041,-118.350411
90037,Battery Electric,227,34.002719,-118.287487
90038,Battery Electric,603,34.088475,-118.325527
90039,Battery Electric,1253,34.111885,-118.261033
90040,Battery Electric,171,33.994523,-118.149952
90041,Battery Electric,888,34.137412,-118.207607
90042,Battery Electric,1341,34.114708,-118.192098
90043,Battery Electric,905,33.988505,-118.336358
90044,Battery Electric,337,33.952725,-118.291904
90045,Battery Electric,7064,33.942108,-118.417488
90046,Battery Electric,2497,34.10781,-118.362247
90047,Battery Electric,553,33.953617,-118.308428
90048,Battery Electric,1212,34.072924,-118.37271
90049,Battery Electric,3275,34.09254,-118.491064
90051,Battery Electric,3,,
90053,Battery Electric,3,,
90055,Battery Electric,1,,
90056,Battery Electric,438,33.988047,-118.370361
90057,Battery Electric,313,34.061735,-118.276757
90058,Battery Electric,134,34.002844,-118.2164
90059,Battery Electric,180,33.926262,-118.249883
90061,Battery Electric,158,33.92128,-118.274186
90062,Battery Electric,230,34.003638,-118.308806
90063,Battery Electric,393,34.045105,-118.185914
90064,Battery Electric,1942,34.037251,-118.423573
90065,Battery Electric,1405,34.112272,-118.225496
90066,Battery Electric,2741,34.002028,-118.430656
90067,Battery Electric,558,34.057597,-118.413998
90068,Battery Electric,1531,34.129772,-118.330989
90069,Battery Electric,1339,34.093828,-118.381697
90071,Battery Electric,23,34.052876,-118.254943
90074,Battery Electric,1,,
90075,Battery Electric,1,,
90077,Battery Electric,1126,34.108023,-118.456964
90078,Battery Electric,4,,
90079,Battery Electric,1,34.040587,-118.255404
90086,Battery Electric,2,,
90088,Battery Electric,1,,
90089,Battery Electric,19,34.020221,-118.286035
90090,Battery Electric,1,34.072862,-118.240989
90093,Battery Electric,4,,
90094,Battery Electric,987,33.975414,-118.41699
90095,Battery Electric,76,34.0712,-118.443523
90143,Battery Electric,1,,
90201,Battery Electric,449,33.970343,-118.171368
90209,Battery Electric,23,,
90210,Battery Electric,2407,34.100517,-118.414712
90211,Battery Electric,688,34.064958,-118.382979
90212,Battery Electric,907,34.06221,-118.401966
90213,Battery Electric,14,,
90220,Battery Electric,279,33.88151,-118.234451
90221,Battery Electric,211,33.885624,-118.205918
90222,Battery Electric,162,33.912246,-118.236773
90223,Battery Electric,1,,
90224,Battery Electric,2,,
90230,Battery Electric,1217,33.997862,-118.393617
90231,Battery Electric,3,,
90232,Battery Electric,834,34.019323,-118.391902
90233,Battery Electric,1,,
90239,Battery Electric,5,,
90240,Battery Electric,665,33.955729,-118.118346
90241,Battery Electric,844,33.940445,-118.129022
90242,Battery Electric,568,33.921793,-118.140588
90245,Battery Electric,876,33.91714,-118.404267
90247,Battery Electric,671,33.890853,-118.297967
90248,Battery Electric,327,33.878432,-118.284104
90249,Battery Electric,541,33.90139,-118.315697
90250,Battery Electric,1795,33.914775,-118.348083
90251,Battery Electric,4,,
90254,Battery Electric,1354,33.864259,-118.399303
90255,Battery Electric,293,33.979248,-118.217438
90256,Battery Electric,2,,
90260,Battery Electric,416,33.88856,-118.351813
90262,Battery Electric,271,33.923533,-118.200705
90263,Battery Electric,2,34.039034,-118.707992
90264,Battery Electric,11,,
90265,Battery Electric,1303,34.066117,-118.846342
90266,Battery Electric,3152,33.889151,-118.402127
90267,Battery Electric,6,,
90270,Battery Electric,100,33.987729,-118.186597
90272,Battery Electric,2501,34.08746,-118.544232
90274,Battery Electric,2439,33.780065,-118.372454
90275,Battery Electric,3212,33.753155,-118.367963
90277,Battery Electric,1858,33.830006,-118.387124
90278,Battery Electric,2229,33.873215,-118.37036
90280,Battery Electric,501,33.944159,-118.192761
90290,Battery Electric,473,34.107753,-118.616219
90291,Battery Electric,1380,33.993396,-118.465193
90292,Battery Electric,1712,33.976582,-118.455222
90293,Battery Electric,612,33.947305,-118.439841
90294,Battery Electric,6,,
90295,Battery Electric,12,,
90296,Battery Electric,1,,
90301,Battery Electric,7974,33.956526,-118.358654
90302,Battery Electric,345,33.975332,-118.355252
90303,Battery Electric,175,33.939766,-118.331085
90304,Battery Electric,163,33.937886,-118.358559
90305,Battery Electric,357,33.95889,-118.330548
90308,Battery Electric,2,,
90309,Battery Electric,1,,
90323,Battery Electric,2,,
90366,Battery Electric,1,,
90401,Battery Electric,1651,34.013666,-118.49375
90402,Battery Electric,1143,34.034666,-118.504039
90403,Battery Electric,1269,34.030755,-118.492101
90404,Battery Electric,787,34.026608,-118.473643
90405,Battery Electric,1533,34.011312,-118.469762
90406,Battery Electric,13,,
90408,Battery Electric,5,,
90409,Battery Electric,5,,
90476,Battery Electric,1,,
90485,Battery Electric,1,,
90501,Battery Electric,1111,33.833744,-118.314022
90502,Battery Electric,431,33.833181,-118.292062
90503,Battery Electric,1624,33.840398,-118.353715
90504,Battery Electric,881,33.867257,-118.330794
90505,Battery Electric,1471,33.807882,-118.347957
90506,Battery Electric,1,33.884696,-118.329998
90508,Battery Electric,1,,
90509,Battery Electric,1,,
90510,Battery Electric,5,,
90601,Battery Electric,725,34.00784,-118.030271
90602,Battery Electric,437,33.972782,-118.022066
90603,Battery Electric,429,33.945555,-117.990719
90604,Battery Electric,574,33.927691,-118.013828
90605,Battery Electric,522,33.950295,-118.024352
90606,Battery Electric,285,33.977272,-118.066363
90607,Battery Electric,1,,
90608,Battery Electric,4,,
90609,Battery Electric,4,,
90620,Battery Electric,1271,33.845223,-118.015292
90621,Battery Electric,1293,33.874224,-117.993368
90622,Battery Electric,2,,
90623,Battery Electric,696,33.850616,-118.039565
90630,Battery Electric,2024,33.818477,-118.038307
90631,Battery Electric,1737,33.942708,-117.952483
90632,Battery Electric,4,,
90633,Battery Electric,3,,
90637,Battery Electric,1,,
90638,Battery Electric,1285,33.902045,-118.008961
90639,Battery Electric,2,,
90640,Battery Electric,822,34.015444,-118.111012
90650,Battery Electric,1255,33.906956,-118.08264
90651,Battery Electric,1,,
90660,Battery Electric,552,33.989524,-118.089299
90661,Battery Electric,1,,
90662,Battery Electric,1,,
90669,Battery Electric,1,,
90670,Battery Electric,433,33.933565,-118.062611
90680,Battery Electric,560,33.801191,-117.994904
90701,Battery Electric,368,33.8676,-118.080612
90702,Battery Electric,2,,
90703,Battery Electric,2709,33.867743,-118.069472
