Latitude,Longitude,Vehicles Nearby,Required Chargers,Elevation
32.88606999999994,-117.0859819999999,8727,137.0,238.0
38.274451000000006,-121.25920100000002,421,5.0,19.0
36.652065,-119.906591,132,3.0,74.0
34.14114600000004,-117.655583,9475,144.0,535.0
34.3050358,-118.8987045,2888,37.0,242.0
40.73832200000002,-124.10761899999999,379,6.0,182.0
35.176043,-120.47669400000001,798,13.0,295.0
39.68571000000003,-121.84408400000001,673,5.0,51.0
38.622985000000035,-122.88912100000006,635,4.0,32.0
37.9912307,-121.7039944,4915,73.0,2.0
35.393866,-119.244846,628,10.0,102.0
37.6100056,-120.9940854,1767,14.0,20.0
33.765401000000004,-116.33420500000004,1898,25.0,48.0
33.482811,-117.22612599999998,188,3.0,410.0
34.1033676,-118.2360136,24453,337.0,220.0
33.0954699999999,-117.24388199999993,12176,162.0,87.0
34.154039999999966,-118.59315299999999,19805,297.0,313.0
38.022366000000034,-122.55560499999999,6697,95.0,61.0
34.866894,-118.339832,184,3.0,773.0
40.765478,-122.941428,18,1.0,885.0
34.01195300000001,-117.15969899999996,1798,29.0,541.0
38.44201100000009,-122.23831999999997,1809,29.0,507.0
34.1403905,-117.9465874,7460,106.0,169.0
36.375589999999995,-119.211689,304,5.0,116.0
32.7082775,-117.0726661,12287,177.0,107.0
34.440891000000036,-118.50174700000002,5811,84.0,506.0
37.67394399999995,-121.51722700000012,2138,34.0,324.0
33.5282882,-117.717662,15635,209.0,170.0
40.52783400000001,-122.31874899999998,320,3.0,158.0
37.42456500000006,-121.74859700000007,3496,55.0,848.0
34.283668,-119.22319599999999,2452,15.0,121.0
38.412614999999995,-121.75622199999997,386,7.0,8.0
39.13502299999996,-123.25933800000003,321,6.0,776.0
36.91757300000003,-119.593481,1744,28.0,171.0
38.39330000000002,-122.74504799999997,2024,15.0,28.0
37.907230000000006,-120.688307,78,2.0,307.0
34.11160499999999,-117.37740600000002,1374,8.0,395.0
37.041848,-121.9853286,2770,44.0,123.0
37.516906999999755,-121.91176300000002,22855,317.0,133.0
37.2376501,-121.832311,18484,213.0,51.0
35.662509,-120.749865,574,9.0,441.0
34.19568500000002,-118.49075200000003,20184,286.0,225.0
37.80891499999997,-121.31263900000002,1645,10.0,4.0
37.4567615,-122.2297184,18717,271.0,16.0
38.244838999999985,-122.13586100000005,1682,19.0,104.0
