Latitude,Longitude,Details,Required Chargers
32.886069999999926,-117.08598199999985,Vehicles Nearby: 8727,137
38.274451000000006,-121.25920100000002,Vehicles Nearby: 421,5.0
36.652065,-119.906591,Vehicles Nearby: 132,3
34.14114600000004,-117.655583,Vehicles Nearby: 9475,144.0
34.3050358,-118.8987045,Vehicles Nearby: 2888,37.0
40.73832200000002,-124.10761899999999,Vehicles Nearby: 379,6
35.176043,-120.47669400000001,Vehicles Nearby: 798,13
39.68571000000003,-121.84408400000001,Vehicles Nearby: 673,5.0
38.622985000000035,-122.88912100000006,Vehicles Nearby: 635,4.0
37.9912307,-121.7039944,Vehicles Nearby: 4915,73.0
35.393866,-119.244846,Vehicles Nearby: 628,10
37.6100056,-120.9940854,Vehicles Nearby: 1767,14.0
33.765401000000004,-116.33420500000004,Vehicles Nearby: 1898,25.0
33.482811,-117.22612599999998,Vehicles Nearby: 188,3
34.1033676,-118.2360136,Vehicles Nearby: 24453,337.0
33.0954699999999,-117.24388199999993,Vehicles Nearby: 12176,162.0
34.154039999999966,-118.59315299999999,Vehicles Nearby: 19805,297.0
38.022366000000034,-122.55560499999999,Vehicles Nearby: 6697,95.0
34.866894,-118.339832,Vehicles Nearby: 184,3
40.765478,-122.941428,Vehicles Nearby: 18,1
34.01195300000001,-117.15969899999996,Vehicles Nearby: 1798,29
38.44201100000009,-122.23831999999997,Vehicles Nearby: 1809,29
34.1403905,-117.9465874,Vehicles Nearby: 7460,106.0
36.375589999999995,-119.211689,Vehicles Nearby: 304,5
32.7082775,-117.0726661,Vehicles Nearby: 12287,177.0
34.440891000000036,-118.50174700000002,Vehicles Nearby: 5811,84.0
37.67394399999995,-121.51722700000012,Vehicles Nearby: 2138,34
33.5282882,-117.717662,Vehicles Nearby: 15635,209.0
40.52783400000001,-122.31874899999998,Vehicles Nearby: 320,3.0
37.42456500000006,-121.74859700000007,Vehicles Nearby: 3496,55
34.283668,-119.22319599999999,Vehicles Nearby: 2452,15.0
38.412614999999995,-121.75622199999997,Vehicles Nearby: 386,7
39.13502299999996,-123.25933800000003,Vehicles Nearby: 321,6
36.91757300000003,-119.593481,Vehicles Nearby: 1744,28
38.39330000000002,-122.74504799999997,Vehicles Nearby: 2024,15.0
37.907230000000006,-120.688307,Vehicles Nearby: 78,2
34.11160499999999,-117.37740600000002,Vehicles Nearby: 1374,8.0
37.041848,-121.9853286,Vehicles Nearby: 2770,44
37.516906999999755,-121.91176300000002,Vehicles Nearby: 22855,317.0
37.2376501,-121.832311,Vehicles Nearby: 18484,213.0
35.662509,-120.749865,Vehicles Nearby: 574,9
34.19568500000002,-118.49075200000003,Vehicles Nearby: 20184,286.0
37.80891499999997,-121.31263900000002,Vehicles Nearby: 1645,10.0
37.4567615,-122.2297184,Vehicles Nearby: 18717,271.0
38.244838999999985,-122.13586100000005,Vehicles Nearby: 1682,19.0
37.54879900000001,-118.839818,Vehicles Nearby: 82,2
39.082497,-121.68011399999999,Vehicles Nearby: 461,8
39.347810999999986,-120.918728,Vehicles Nearby: 334,6
35.16318999999999,-119.04632199999999,Vehicles Nearby: 664,11
37.9377015,-122.0256327,Vehicles Nearby: 7551,35.0
36.6768911,-121.6123431,Vehicles Nearby: 1383,18.0
