Latitude,Longitude,Details,Required Chargers
32.88606999999992,-117.08598200000007,Vehicles Nearby: 8727,546
38.333132999999975,-121.920151,Vehicles Nearby: 1141,72
36.793476999999996,-119.956818,Vehicles Nearby: 1045,66
34.2605131,-118.326723,Vehicles Nearby: 8253,516
34.4350031,-119.6105419,Vehicles Nearby: 1425,90
40.8052226,-124.1646655,Vehicles Nearby: 382,24
37.67394399999994,-121.51722699999993,Vehicles Nearby: 2138,134
33.807607000000004,-117.01516300000002,Vehicles Nearby: 764,48
47.631695,-122.240405,Vehicles Nearby: 53,4
38.449136999999965,-122.79375200000001,Vehicles Nearby: 3878,243
35.463544,-120.69291100000001,Vehicles Nearby: 822,52
40.18189,-122.377104,Vehicles Nearby: 118,8
35.24512,-118.9411,Vehicles Nearby: 189,12
33.988505,-118.33635800000002,Vehicles Nearby: 30181,1887
37.3607935,-122.0968991,Vehicles Nearby: 28726,1796
33.903134000000016,-117.39804400000004,Vehicles Nearby: 4533,284
33.75395900000001,-116.24648699999996,Vehicles Nearby: 1937,122
37.67290599999997,-120.94659400000002,Vehicles Nearby: 1770,111
33.15849999999995,-117.27716300000002,Vehicles Nearby: 9728,608
37.8641059,-122.2462392,Vehicles Nearby: 18649,1166
34.29333800000002,-118.60311800000002,Vehicles Nearby: 10415,651
36.178090999999995,-119.370752,Vehicles Nearby: 337,22
32.725583,-115.47268,Vehicles Nearby: 189,12
34.747389999999996,-118.36924899999997,Vehicles Nearby: 1106,70
34.923013,-120.259463,Vehicles Nearby: 227,15
34.131587,-117.614893,Vehicles Nearby: 8323,521
39.305245000000006,-123.748616,Vehicles Nearby: 100,7
39.68571000000002,-121.84408399999998,Vehicles Nearby: 673,43
33.50186000000005,-117.60864600000002,Vehicles Nearby: 8476,530
38.04993900000003,-121.23297000000002,Vehicles Nearby: 958,60
38.11216600000001,-122.63438399999998,Vehicles Nearby: 854,54
34.136077,-118.88891900000002,Vehicles Nearby: 6407,401
34.15403999999996,-118.59315300000004,Vehicles Nearby: 19805,1238
33.58001600000013,-117.1473600000001,Vehicles Nearby: 5601,351
36.75151900000002,-119.680602,Vehicles Nearby: 2010,126
38.92281200000007,-121.31200499999997,Vehicles Nearby: 1611,101
37.92222799999986,-121.6683589999999,Vehicles Nearby: 4132,259
34.585234,-117.453724,Vehicles Nearby: 191,12
38.482619,-120.899472,Vehicles Nearby: 35,3
38.098070999999976,-122.13593999999999,Vehicles Nearby: 2227,140
35.606509,-117.68347199999998,Vehicles Nearby: 212,14
38.44201100000009,-122.23831999999996,Vehicles Nearby: 1809,114
32.7518076,-117.001918,Vehicles Nearby: 7507,470
34.227892,-119.07955199999999,Vehicles Nearby: 1273,80
37.5190529,-120.8471228,Vehicles Nearby: 1030,65
37.492115000000005,-118.390408,Vehicles Nearby: 108,7
35.17604299999999,-120.47669399999998,Vehicles Nearby: 798,50
34.092539999999985,-118.49106399999995,Vehicles Nearby: 31288,1956
37.714508999999914,-122.07954199999998,Vehicles Nearby: 11862,742
45.640067,-122.625018,Vehicles Nearby: 6,1
34.479453000000014,-120.08409399999998,Vehicles Nearby: 989,62
33.6474401,-117.687623,Vehicles Nearby: 23801,1488
37.03646100000003,-122.12174999999993,Vehicles Nearby: 1946,122
37.33598699999991,-121.77760300000003,Vehicles Nearby: 8846,553
38.085839,-120.37855,Vehicles Nearby: 21,2
37.9522715,-122.550052,Vehicles Nearby: 9347,585
40.751936999999955,-122.23067800000001,Vehicles Nearby: 319,20
33.91713999999999,-118.40426700000002,Vehicles Nearby: 36347,2272
37.74303899999997,-121.23838000000002,Vehicles Nearby: 1326,83
34.57086700000001,-118.023744,Vehicles Nearby: 452,29
39.347810999999986,-120.91872800000002,Vehicles Nearby: 334,21
38.5545359,-121.7870207,Vehicles Nearby: 1200,75
37.34578499999999,-120.42415,Vehicles Nearby: 559,35
35.393866,-119.244846,Vehicles Nearby: 628,40
34.185665999999976,-118.23949399999997,Vehicles Nearby: 21397,1338
33.9318178,-117.5999665,Vehicles Nearby: 6526,408
34.03733999999998,-119.800786,Vehicles Nearby: 740,47
32.94579099999991,-117.21436600000021,Vehicles Nearby: 12725,796
34.4623278,-118.5566385,Vehicles Nearby: 4240,265
33.64952800000002,-117.37677400000004,Vehicles Nearby: 1916,120
38.936137,-123.119445,Vehicles Nearby: 21,2
38.99418700000001,-121.59459100000001,Vehicles Nearby: 617,39
36.295014,-119.026031,Vehicles Nearby: 105,7
38.6811234,-121.0475448,Vehicles Nearby: 6280,393
34.141358,-115.62116799999998,Vehicles Nearby: 110,7
37.006700000000016,-121.87820700000002,Vehicles Nearby: 1522,96
37.762174000000165,-121.91578800000015,Vehicles Nearby: 19108,1195
36.917573000000026,-119.593481,Vehicles Nearby: 1744,109
38.34488799999997,-121.43123100000005,Vehicles Nearby: 4130,259
34.03230099999999,-117.01057399999998,Vehicles Nearby: 2454,154
41.81957799999999,-124.06566699999999,Vehicles Nearby: 74,5
34.011953000000005,-117.159699,Vehicles Nearby: 1798,113
33.131156000000004,-116.97699699999997,Vehicles Nearby: 949,60
34.530199,-119.310133,Vehicles Nearby: 633,40
36.76938899999999,-121.66753199999998,Vehicles Nearby: 759,48
35.26146,-116.690324,Vehicles Nearby: 44,3
38.4426174,-122.5308898,Vehicles Nearby: 1052,66
37.17406299999991,-121.5987469999999,Vehicles Nearby: 3061,192
32.80856300000002,-116.71007599999999,Vehicles Nearby: 336,21
38.7311645,-121.3653103,Vehicles Nearby: 5158,323
36.389618,-121.343146,Vehicles Nearby: 128,8
37.6619214,-121.855933,Vehicles Nearby: 3329,209
34.18001,-117.77393899999997,Vehicles Nearby: 4313,270
38.634821999999986,-122.61505100000001,Vehicles Nearby: 185,12
33.837959999999974,-117.87049400000002,Vehicles Nearby: 17573,1099
38.05172600000002,-121.48303600000003,Vehicles Nearby: 768,48
36.29223000000001,-119.622676,Vehicles Nearby: 458,29
35.621087,-118.789677,Vehicles Nearby: 260,17
37.32123300000001,-120.654395,Vehicles Nearby: 288,18
37.45289500000001,-121.229974,Vehicles Nearby: 506,32
37.24662299999992,-121.7338329999999,Vehicles Nearby: 5071,317
33.5282882,-117.717662,Vehicles Nearby: 15635,978
34.571217999999995,-117.133073,Vehicles Nearby: 391,25
37.76821799999989,-121.60950900000005,Vehicles Nearby: 2694,169
34.533222000000016,-119.791731,Vehicles Nearby: 1670,105
35.250048,-120.6252368,Vehicles Nearby: 1528,96
34.604105000000004,-118.23921300000003,Vehicles Nearby: 1340,84
35.98808700000001,-118.860221,Vehicles Nearby: 278,18
33.39047699999996,-117.20942699999995,Vehicles Nearby: 1370,86
34.2736056,-118.555041,Vehicles Nearby: 13291,831
33.17077499999996,-117.15867600000003,Vehicles Nearby: 6651,416
37.51998600000002,-121.57559600000008,Vehicles Nearby: 2159,135
36.86220900000001,-119.760793,Vehicles Nearby: 4043,253
33.51122800000001,-117.04239600000008,Vehicles Nearby: 3945,247
35.118772,-118.49381099999998,Vehicles Nearby: 318,20
32.77601200000002,-116.88063400000001,Vehicles Nearby: 2036,128
38.23455300000002,-122.76038500000004,Vehicles Nearby: 1257,79
33.8321595,-118.2797865,Vehicles Nearby: 12875,805
40.601778000000024,-122.45497300000001,Vehicles Nearby: 338,22
34.222079,-116.564222,Vehicles Nearby: 11,1
34.32658400000002,-118.382261,Vehicles Nearby: 5107,320
35.662509,-120.74986500000001,Vehicles Nearby: 574,36
33.74808599999995,-117.46803700000004,Vehicles Nearby: 1851,116
36.90204499999999,-121.35078299999995,Vehicles Nearby: 1087,68
37.5496813,-122.0896594,Vehicles Nearby: 6740,422
34.12330499999997,-118.67102499999999,Vehicles Nearby: 10897,682
34.83179200000001,-120.43350899999999,Vehicles Nearby: 620,39
39.19638699999999,-120.97228900000002,Vehicles Nearby: 246,16
38.24483899999998,-122.13586100000012,Vehicles Nearby: 1682,106
38.670649000000026,-121.52598300000002,Vehicles Nearby: 4893,306
33.96372300000013,-117.73859599999987,Vehicles Nearby: 16455,1029
33.8917222,-117.209334,Vehicles Nearby: 1423,89
37.89993600000005,-121.99924400000009,Vehicles Nearby: 10159,635
37.4059857,-122.121416,Vehicles Nearby: 25538,1597
35.19240400000001,-119.17586600000001,Vehicles Nearby: 1215,76
34.28033300000002,-117.866141,Vehicles Nearby: 1072,67
33.9870413,-117.8925164,Vehicles Nearby: 18344,1147
33.606694999999924,-117.60435999999991,Vehicles Nearby: 12089,756
39.135023000000004,-123.259338,Vehicles Nearby: 321,21
38.39928099999999,-121.210116,Vehicles Nearby: 163,11
33.6687456,-117.7332496,Vehicles Nearby: 31449,1966
41.31433700000001,-122.380798,Vehicles Nearby: 78,5
37.209821000000005,-119.749802,Vehicles Nearby: 90,6
32.8521688,-117.2571827,Vehicles Nearby: 7590,475
33.736458,-114.687973,Vehicles Nearby: 44,3
34.71365600000001,-117.86465999999999,Vehicles Nearby: 518,33
34.0178788,-117.59212,Vehicles Nearby: 6387,400
34.28366799999999,-119.223196,Vehicles Nearby: 2452,154
36.391777000000005,-119.372842,Vehicles Nearby: 700,44
37.37682800000003,-122.20979599999998,Vehicles Nearby: 13215,826
33.66584799999998,-117.04966000000005,Vehicles Nearby: 1770,111
34.384697000000024,-118.64724400000003,Vehicles Nearby: 4966,311
33.75404800000006,-117.75227299999992,Vehicles Nearby: 27626,1727
39.25902200000001,-121.776826,Vehicles Nearby: 120,8
37.78723600000001,-120.75920199999999,Vehicles Nearby: 308,20
34.376159000000015,-117.29439700000002,Vehicles Nearby: 487,31
32.983606000000066,-117.0190349999999,Vehicles Nearby: 4673,293
34.595668999999994,-120.352667,Vehicles Nearby: 444,28
39.47536000000001,-121.41411,Vehicles Nearby: 105,7
32.61945899999991,-116.98582000000007,Vehicles Nearby: 8912,557
38.6724297,-121.1558851,Vehicles Nearby: 7925,496
34.441596000000004,-118.44810899999999,Vehicles Nearby: 3835,240
34.1017097,-117.2888692,Vehicles Nearby: 2543,159
36.415603,-121.63765100000002,Vehicles Nearby: 310,20
37.792681999999964,-121.86058999999989,Vehicles Nearby: 9944,622
38.2441635,-122.299168,Vehicles Nearby: 1389,87
37.26049900000012,-122.04616500000019,Vehicles Nearby: 14498,907
38.62298500000003,-122.88912099999997,Vehicles Nearby: 635,40
37.18614099999986,-121.84355499999995,Vehicles Nearby: 13805,863
37.9652976,-121.781917,Vehicles Nearby: 2985,187
38.42750700000002,-121.314899,Vehicles Nearby: 3030,190
35.3412164,-119.051032,Vehicles Nearby: 1226,77
38.832519999999995,-123.472532,Vehicles Nearby: 117,8
34.19332599999996,-118.81868400000005,Vehicles Nearby: 7520,470
36.197785,-120.422249,Vehicles Nearby: 55,4
38.43396799999999,-119.968436,Vehicles Nearby: 56,4
34.408547999999996,-118.12359199999999,Vehicles Nearby: 526,33
41.028176,-121.308316,Vehicles Nearby: 6,1
34.12719400000003,-118.29564699999996,Vehicles Nearby: 33885,2118
37.548799,-118.839818,Vehicles Nearby: 82,6
36.556387,-118.054221,Vehicles Nearby: 16,1
34.3050358,-118.8987045,Vehicles Nearby: 2888,181
37.75050200000007,-121.74905499999996,Vehicles Nearby: 1415,89
38.02236600000003,-122.55560500000004,Vehicles Nearby: 6697,419
34.894366,-114.640335,Vehicles Nearby: 12,1
37.066986,-122.0056659,Vehicles Nearby: 1798,113
35.779507,-119.200825,Vehicles Nearby: 118,8
33.99900500000001,-117.97214600000007,Vehicles Nearby: 12484,781
38.3346278,-123.0496156,Vehicles Nearby: 181,12
33.8069162,-117.9227207,Vehicles Nearby: 22717,1420
33.64176699999997,-116.27394300000005,Vehicles Nearby: 1260,79
37.4300692,-122.2989649,Vehicles Nearby: 6613,414
36.651745000000005,-121.59944399999999,Vehicles Nearby: 1383,87
35.3118622,-120.832629,Vehicles Nearby: 341,22
33.05300599999999,-116.850651,Vehicles Nearby: 668,42
33.8574579,-118.0785393,Vehicles Nearby: 18505,1157
36.9360488,-121.7443663,Vehicles Nearby: 929,59
38.9627361,-122.634245,Vehicles Nearby: 42,3
38.149815999999994,-120.84667,Vehicles Nearby: 110,7
39.89162399999998,-121.84198199999997,Vehicles Nearby: 384,24
35.16374,-117.886527,Vehicles Nearby: 79,5
38.4220022,-121.4454761,Vehicles Nearby: 5457,342
37.9539711,-122.0610372,Vehicles Nearby: 9155,573
34.20083400000004,-118.66490000000002,Vehicles Nearby: 11832,740
37.80891499999996,-121.31263899999996,Vehicles Nearby: 1645,103
37.50451399999992,-122.0329159999999,Vehicles Nearby: 17221,1077
39.492841999999996,-123.34097299999999,Vehicles Nearby: 98,7
36.984885,-119.873914,Vehicles Nearby: 440,28
38.5016047,-122.7513416,Vehicles Nearby: 3483,218
34.980294,-116.964449,Vehicles Nearby: 110,7
38.7710902,-121.3698634,Vehicles Nearby: 4891,306
37.8731755,-122.4563742,Vehicles Nearby: 3263,204
40.270731,-121.039461,Vehicles Nearby: 13,1
36.20506,-121.010363,Vehicles Nearby: 79,5
39.099230000000006,-121.13884799999998,Vehicles Nearby: 234,15
35.585018,-121.041461,Vehicles Nearby: 173,11
33.54761300000004,-117.34403999999998,Vehicles Nearby: 1597,100
37.42456500000005,-121.74859699999995,Vehicles Nearby: 3496,219
38.69861400000002,-121.69926200000003,Vehicles Nearby: 599,38
33.244442,-117.291178,Vehicles Nearby: 4075,255
34.196025999999975,-118.99253100000001,Vehicles Nearby: 3526,221
38.40857100000001,-122.02277499999995,Vehicles Nearby: 817,52
33.76563900000005,-117.79007499999994,Vehicles Nearby: 24990,1562
37.51690700000005,-121.91176300000014,Vehicles Nearby: 22855,1429
33.253548000000016,-117.00336599999996,Vehicles Nearby: 585,37
36.817791,-119.457602,Vehicles Nearby: 258,17
34.12328599999997,-118.75854099999998,Vehicles Nearby: 5440,340
34.768503,-119.030293,Vehicles Nearby: 57,4
37.2946801,-122.0816201,Vehicles Nearby: 28728,1796
35.03719799999999,-120.50459300000001,Vehicles Nearby: 706,45
38.652065000000064,-121.25441000000002,Vehicles Nearby: 4974,311
33.9443513,-118.4062065,Vehicles Nearby: 37354,2335
32.88144899999999,-115.675459,Vehicles Nearby: 167,11
40.765478,-122.941428,Vehicles Nearby: 18,2
39.491654,-122.26208,Vehicles Nearby: 33,3
38.28074499999994,-122.00637999999996,Vehicles Nearby: 1298,82
38.542448000000014,-122.41992299999998,Vehicles Nearby: 424,27
32.8575383,-117.1852012,Vehicles Nearby: 14915,933
34.30872899999998,-118.68722299999999,Vehicles Nearby: 5377,337
39.22393899999999,-121.49404999999999,Vehicles Nearby: 183,12
36.918079,-120.185933,Vehicles Nearby: 246,16
33.84045099999995,-117.60196099999997,Vehicles Nearby: 7047,441
34.004467999999974,-117.68469700000007,Vehicles Nearby: 11473,718
34.2022646,-118.5363484,Vehicles Nearby: 21642,1353
41.068267,-124.1489841,Vehicles Nearby: 67,5
40.322772,-123.920622,Vehicles Nearby: 9,1
34.156528999999985,-117.84160500000003,Vehicles Nearby: 5152,322
34.62439499999999,-120.137875,Vehicles Nearby: 441,28
36.83428900000001,-119.83335,Vehicles Nearby: 3275,205
35.16318999999999,-119.046322,Vehicles Nearby: 664,42
34.374009,-117.628429,Vehicles Nearby: 119,8
36.44867199999999,-121.84950200000004,Vehicles Nearby: 667,42
38.398814999999935,-122.86192299999998,Vehicles Nearby: 1734,109
34.480247,-117.408184,Vehicles Nearby: 891,56
37.71802300000002,-121.03271399999998,Vehicles Nearby: 1192,75
33.889702000000035,-117.11342700000003,Vehicles Nearby: 901,57
36.29227,-119.829463,Vehicles Nearby: 212,14
34.40250899999997,-118.36342700000003,Vehicles Nearby: 3223,202
37.284528999999935,-121.65832099999994,Vehicles Nearby: 4009,251
38.57778300000004,-121.20178799999995,Vehicles Nearby: 2075,130
37.8233204,-122.2071845,Vehicles Nearby: 16877,1055
38.137068,-121.38454600000001,Vehicles Nearby: 539,34
38.6765755,-121.8685358,Vehicles Nearby: 345,22
33.022474,-116.493688,Vehicles Nearby: 58,4
34.06611699999998,-118.84634199999999,Vehicles Nearby: 2874,180
36.6841596,-121.79642,Vehicles Nearby: 1041,66
37.8849857,-122.5706681,Vehicles Nearby: 5916,370
37.46945300000002,-122.41184099999995,Vehicles Nearby: 2482,156
38.4866182,-121.5351981,Vehicles Nearby: 3099,194
38.523861,-120.376629,Vehicles Nearby: 34,3
34.02452000000001,-117.28925499999997,Vehicles Nearby: 3382,212
34.50662699999999,-118.69904799999999,Vehicles Nearby: 2048,128
34.402342999999995,-119.094824,Vehicles Nearby: 320,20
38.23501400000003,-122.55733199999993,Vehicles Nearby: 936,59
38.61212899999999,-120.96452200000002,Vehicles Nearby: 560,35
33.69267299999996,-117.30295699999995,Vehicles Nearby: 2885,181
33.745761999999985,-118.208042,Vehicles Nearby: 6336,396
38.412614999999995,-121.75622200000001,Vehicles Nearby: 386,25
36.975642,-121.983443,Vehicles Nearby: 1506,95
34.1899742,-119.2327807,Vehicles Nearby: 1978,124
32.654821,-116.465541,Vehicles Nearby: 39,3
33.66730100000001,-116.96350599999998,Vehicles Nearby: 1759,110
37.6525286,-122.0532083,Vehicles Nearby: 10591,662
34.1654839,-117.5233721,Vehicles Nearby: 7117,445
34.2064242,-118.8844286,Vehicles Nearby: 8956,560
38.80917499999999,-121.171375,Vehicles Nearby: 2764,173
32.990032,-117.075396,Vehicles Nearby: 12318,770
34.1842684,-118.1310397,Vehicles Nearby: 14976,936
33.95029499999998,-118.02435199999998,Vehicles Nearby: 11567,723
33.94894799999999,-116.83236200000002,Vehicles Nearby: 328,21
33.117153999999935,-117.18062700000013,Vehicles Nearby: 8365,523
34.21243300000001,-117.38123900000002,Vehicles Nearby: 1109,70
34.106896000000006,-119.099535,Vehicles Nearby: 683,43
37.9912307,-121.7039944,Vehicles Nearby: 4915,308
34.32261800000001,-118.23757000000003,Vehicles Nearby: 2574,161
33.54723800000014,-117.62376100000007,Vehicles Nearby: 21154,1323
33.819545,-117.9601612,Vehicles Nearby: 20660,1292
33.746707,-117.17214199999998,Vehicles Nearby: 1508,95
34.18589399999999,-116.43241600000002,Vehicles Nearby: 208,13
39.08249699999999,-121.68011400000002,Vehicles Nearby: 461,29
37.7753584,-122.145787,Vehicles Nearby: 9991,625
38.627950999999975,-121.59328699999996,Vehicles Nearby: 4445,278
34.440891000000036,-118.501747,Vehicles Nearby: 5811,364
34.08746000000005,-118.54423199999994,Vehicles Nearby: 18952,1185
32.83879800000005,-116.86995600000003,Vehicles Nearby: 2315,145
32.7839251,-117.0596437,Vehicles Nearby: 11923,746
32.7082775,-117.0726661,Vehicles Nearby: 12287,768
34.083305,-117.968609,Vehicles Nearby: 14126,883
38.192498,-121.92752899999999,Vehicles Nearby: 463,29
40.825486000000005,-124.049485,Vehicles Nearby: 257,17
37.9613153,-122.5002485,Vehicles Nearby: 7334,459
32.725349,-117.228983,Vehicles Nearby: 8731,546
33.765401,-116.334205,Vehicles Nearby: 1898,119
38.13406799999997,-122.52719000000002,Vehicles Nearby: 1527,96
35.468183,-118.77964899999999,Vehicles Nearby: 453,29
33.708592,-116.49762199999994,Vehicles Nearby: 805,51
37.35748900000005,-122.14443700000015,Vehicles Nearby: 20991,1312
33.142077,-116.106046,Vehicles Nearby: 35,3
36.658709,-119.401274,Vehicles Nearby: 133,9
39.0199922,-122.0559382,Vehicles Nearby: 32,2
33.21993499999998,-117.20260600000003,Vehicles Nearby: 6312,395
34.205246999999986,-119.174092,Vehicles Nearby: 3037,190
34.424366000000006,-117.16129500000001,Vehicles Nearby: 374,24
37.2628961,-121.932567,Vehicles Nearby: 21479,1343
32.990120999999995,-115.358757,Vehicles Nearby: 78,5
38.11649,-122.930351,Vehicles Nearby: 90,6
33.624455999999924,-117.78142299999996,Vehicles Nearby: 23925,1496
38.48954399999994,-121.32345399999994,Vehicles Nearby: 4612,289
38.11438799999999,-121.14465800000002,Vehicles Nearby: 359,23
37.87992000000003,-122.18457199999997,Vehicles Nearby: 14346,897
38.14886200000001,-121.737696,Vehicles Nearby: 205,13
36.375589999999995,-119.211689,Vehicles Nearby: 304,19
33.67901000000007,-118.01460300000008,Vehicles Nearby: 13706,857
36.814503,-120.57524,Vehicles Nearby: 33,3
39.923446000000006,-122.270806,Vehicles Nearby: 49,4
33.6170068,-117.6494139,Vehicles Nearby: 17571,1099
35.296958,-120.73313399999999,Vehicles Nearby: 512,32
38.744421,-121.1732264,Vehicles Nearby: 7361,461
38.525732999999946,-122.69044299999999,Vehicles Nearby: 2304,144
39.045930999999996,-122.941077,Vehicles Nearby: 75,5
34.713291999999996,-118.15292000000001,Vehicles Nearby: 358,23
34.545587,-118.42009499999999,Vehicles Nearby: 701,44
34.294615,-118.50700099999997,Vehicles Nearby: 10457,654
41.609516,-122.963525,Vehicles Nearby: 10,1
47.224432,-122.541082,Vehicles Nearby: 6,1
33.0930727,-117.2910388,Vehicles Nearby: 10699,669
34.01819499999999,-117.85482100000004,Vehicles Nearby: 12360,773
35.652242,-119.4464,Vehicles Nearby: 54,4
37.91885399999999,-121.417427,Vehicles Nearby: 502,32
37.4567615,-122.2297184,Vehicles Nearby: 18717,1170
38.56886600000001,-122.079781,Vehicles Nearby: 166,11
37.5232544,-122.2518725,Vehicles Nearby: 14159,885
32.55702199999996,-117.00621400000003,Vehicles Nearby: 5944,372
39.59394499999999,-121.581363,Vehicles Nearby: 66,5
38.1194226,-122.2090254,Vehicles Nearby: 3112,195
33.09546999999989,-117.24388200000004,Vehicles Nearby: 12176,761
33.460512,-116.084589,Vehicles Nearby: 34,3
37.2376501,-121.832311,Vehicles Nearby: 18484,1156
40.51087,-121.876112,Vehicles Nearby: 21,2
33.61784399999999,-117.25930399999997,Vehicles Nearby: 2054,129
34.501472,-117.29204800000001,Vehicles Nearby: 672,42
34.049808999999996,-117.47061299999999,Vehicles Nearby: 2897,182
38.6379171,-121.3305,Vehicles Nearby: 6473,405
38.281108,-119.384449,Vehicles Nearby: 10,1
33.787291999999994,-117.32067299999999,Vehicles Nearby: 476,30
37.377787,-119.632385,Vehicles Nearby: 60,4
33.5410626,-117.1171448,Vehicles Nearby: 6389,400
33.212444000000005,-117.116098,Vehicles Nearby: 3465,217
37.72272000000002,-122.02155199999997,Vehicles Nearby: 7659,479
33.89113299999998,-117.326749,Vehicles Nearby: 4493,281
38.4807614,-121.410185,Vehicles Nearby: 5102,319
38.274451,-121.25920099999999,Vehicles Nearby: 421,27
37.216953000000025,-121.9265549999999,Vehicles Nearby: 19779,1237
32.674004000000004,-116.94393199999999,Vehicles Nearby: 6230,390
38.80034899999999,-120.503871,Vehicles Nearby: 63,4
34.4521463,-118.6360958,Vehicles Nearby: 3987,250
34.2091699,-118.2094393,Vehicles Nearby: 12320,770
39.940063,-120.891328,Vehicles Nearby: 27,2
34.1068035,-118.4151417,Vehicles Nearby: 41613,2601
